,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,2,Gold Rush 7s Doubler,692,10000,4.20,6,4,,,,05/20/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_692
0,1,Gold Rush 7s,691,1000,4.60,24,4,,,,05/20/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_691
0,10,Jumbo Cash,689,250000,3.43,5,1,,,,04/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_689
0,30,Mega Money,690,2000000,2.90,5,4,,,,04/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_690
0,5,THE BIG SPIN,688,Big Spin,3.95,8,1,,,,04/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_688
0,3,SKEE-BALL®,687,15000,4.09,8,2,,,,04/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_687
0,10,Bingo X10,685,100000,3.24,6,2,,,,03/18/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_685
0,10,"$150,000 Extreme",686,150000,3.50,5,2,,,,03/18/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_686
0,5,Money Money Money,684,50000,3.95,8,1,,,,03/18/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_684
0,2,PAC-MAN,683,10000,4.20,7,3,,,,03/18/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_683
0,1,Corner Payout,682,1000,4.55,24,3,,,,03/18/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_682
0,20,"$500,000 Crossword",680,500000,2.84,5,2,,,,02/26/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_680
0,50,"$5,000,000 CASH",681,5000000,3.05,4,2,,,,02/19/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_681
0,10,"$250,000 Cash Winfall",679,250000,3.77,5,1,,,,02/19/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_679
0,5,Power Cash,678,50000,3.90,8,3,,,,02/19/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_678
0,3,Bonus Crossword,677,30000,3.69,8,3,,,,02/19/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_677
0,1,5X the Cash,672,1000,4.59,27,2,,,,01/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_672
0,2,10X the Cash,673,10000,3.81,7,1,,,,01/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_673
0,5,20X the Cash,674,50000,3.77,8,0,Top Prize Claimed,,,01/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_674
0,10,50X the Cash,675,100000,3.29,10,1,,,,01/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_675
0,20,100X the Cash,676,1000000,3.03,7,3,,,,01/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_676
0,30,200X the Cash,671,2000000,2.90,5,2,,,,12/28/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_671
0,1,Fast Roll,665,1000,4.45,32,12,,,,12/28/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_665
0,3,Loteria™,667,30000,3.86,8,4,,,,12/28/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_667
0,5,$,668,50000,3.92,8,2,,,,12/28/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_668
0,10,Money Drop,669,100000,3.49,8,5,,,,12/28/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_669
0,10,Electric 8s,664,88000,3.43,8,5,,,,11/24/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_664
0,2,Triple 333,662,13333,4.20,6,3,,,,11/24/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_662
0,20,"Win $100, $200 or $500",661,500,9.14,19043,4748,,,,10/23/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_661
0,30,"$100,000 Ca$h",655,100000,2.79,65,49,,,,09/18/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_655
0,10,"$10,000 Ca$h",654,10000,3.42,132,39,,,,09/18/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_654
0,5,Cash Boom,652,50000,3.99,8,3,,,,09/18/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_652
0,5,Deluxe Crossword,653,50000,3.47,8,2,,,,09/18/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_653
0,5,Bonus Cash Doubler,645,50000,3.93,8,3,,,,07/17/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_645
0,10,$600 Cash in Hand,646,600,3.50,7002,491,,,,07/17/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_646
0,20,$1 Million Royale,647,1000000,3.04,7,4,,,,07/17/2023,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_647
0,20,"$50,000 Cash",613,50000,3.03,160,65,,,,12/29/2022,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_613
0,20,THE GAME OF LIFE™,609,1000000,3.02,5,3,,,,10/17/2022,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_609
0,30,Cash is King,603,2000000,2.93,5,1,,,,09/19/2022,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_603
0,20,Bonus Bingo X20,499,500000,2.96,8,0,Top Prize Claimed,,,08/24/2020,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_499
