,price,gameNumber,gameURL,gamePhoto,overallodds,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported,gameName,topprize,topprizestarting,topprizeremain,topprizeavail
30,5,7522,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/75k-crossword-7522,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/june/23-0396_WebApp_INT_June23_NewTicketAssets_Website_TicketsLogos_IL_7522_logo.jpg,3.8,"July 6, 2023",,,,,2024-03-20,"$75,000 CROSSWORD ",75000,10,2,
31,30,7520,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/3000000-cash-fortune,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/july/23-0433_WebApp_INT_July23_NewTicketAssets_Website_TicketsLogos_IL-7520_logo.jpg,2.72,"July 4, 2023",,,,,2024-03-20,"$3,000,000 CASH FORTUNE ",1800000,3,1,
32,5,7518,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/lucky-7-bonus,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/july/23-0433_WebApp_INT_July23_NewTicketAssets_Website_TicketsLogos_IL-7518_logo.jpg,3.93,"July 4, 2023",,,,,2024-03-20,LUCKY 7 BONUS ,277777,5,3,
33,10,7519,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/diamond-dollars,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/july/23-0433_WebApp_INT_July23_NewTicketAssets_Website_TicketsLogos_IL-7519_logo.jpg,4.99,"July 4, 2023",,,,,2024-03-20,DIAMOND DOLLARS ,500000,4,1,
34,1,7517,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/loose-change-multiplier-2023,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/july/23-0433-02_WebApp_INT_July23_NewTicketAssets_Website_TicketsLogos_IL-7517_logo.jpg,4.89,"July 4, 2023",,,,,2024-03-20,LOOSE CHANGE MULTIPLIER ,1000,50,23,
35,5,7514,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/power-shot,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/june/23-0396_WebApp_INT_June23_NewTicketAssets_Website_TicketsLogos_IL-7514_logo.jpg,3.9,"June 6, 2023",,,,,2024-03-20,POWER SHOT ,400000,4,2,
36,20,7511,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/2000-frenzy-multiplier,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/may/23-0362_WebApp_INT_May23_NewTicketAssets_Website_TicketsLogos_IL-7511_logo.jpg,3.18,"May 2, 2023",,,,,2024-03-20,"$2,000 FRENZY MULTIPLIER ",1000000,3,1,
37,10,7510,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/600-frenzy-multiplier,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/may/23-0362_WebApp_INT_May23_NewTicketAssets_Website_TicketsLogos_IL-7510_logo.jpg,3.64,"May 2, 2023",,,,,2024-03-20,$600 FRENZY MULTIPLIER ,500000,3,1,
38,2,7508,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/50-frenzy-multiplier,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/may/23-0362_WebApp_INT_May23_NewTicketAssets_Website_TicketsLogos_IL-7508_logo.jpg,4.48,"May 2, 2023",,,,,2024-03-20,$50 FRENZY MULTIPLIER ,20000,5,5,
39,1,7507,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/20-frenzy-multiplier,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/may/23-0362_WebApp_INT_May23_NewTicketAssets_Website_TicketsLogos_IL-7507_logo.jpg,5.07,"May 2, 2023",,,,,2024-03-20,$20 FRENZY MULTIPLIER ,5000,6,1,
40,1,7507,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/games-hub/instant-tickets/20-frenzy-multiplier,https://webcache.googleusercontent.com/search?q=cache:https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/may/23-0362_WebApp_INT_May23_NewTicketAssets_Website_TicketsLogos_IL-7507_logo.jpg,5.07,"May 2, 2023",,,,,2024-03-20,$20 FRENZY MULTIPLIER ,5000,6,1,
