,gameNumber,gameURL,gamePhoto
110,1427,https:/www.oregonlottery.org/scratch-its/sapphire-riches/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1427_Sapphire_Riches_1200x1200_Tile-300x300.jpg
111,1382,https:/www.oregonlottery.org/scratch-its/lucky-sevens/,https://www.oregonlottery.org/wp-content/uploads/2021/04/1382_Lucky_7s_1200x1200_Tile-300x300.jpg
112,1412,https:/www.oregonlottery.org/scratch-its/red-hot-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1412_RedHotCrossword_GameTile_2400x2400-300x300.png
113,1384,https:/www.oregonlottery.org/scratch-its/100000-money-match/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1384_100000MoneyMatch_GameTile_1200x1200-300x300.jpg
114,1405,https:/www.oregonlottery.org/scratch-its/fat-cat-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1405_FatCatCrossword_GameTile_2400x2400-300x300.png
115,1423,https:/www.oregonlottery.org/scratch-its/crossword-wizard/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1423_CrosswordWizard_2400x2400-300x300.png
116,1425,https:/www.oregonlottery.org/scratch-its/grand-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1425_Grand_Crossword_1200x1200_Tile-300x300.jpg
117,1421,https:/www.oregonlottery.org/scratch-its/turquoise-treasures/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1421_Turquoise_Treasures_Tile_1200x1200-300x300.jpg
118,1411,https:/www.oregonlottery.org/scratch-its/scratch-yer-booty-bingo/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1411_ScratchYerBootyBingo_GameTile_2400x2400-300x300.png
119,1413,https:/www.oregonlottery.org/scratch-its/casino-night/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1413_CasinoNight_GameTile_2400x2400-300x300.png
120,1414,https:/www.oregonlottery.org/scratch-its/feeling-lucky/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1414_FeelingLucky_GameTile_2400x2400-300x300.png
