,gameName,gameNumber,price,startDate,lastdatetoclaim,topprize,topprizestarting,topprizeremain,overallodds,secondChance,Payout percentage,gameURL
80,Franklin,161,$10,"July 27, 2020",Not Set,"$250,000",2,1,1 in 3.33,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/franklin-2604/
81,7-11-21®,229,$1,"Nov. 21, 2022",Not Set,"$21,000",7,2,1 in 5.07,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/7-11-21-2753/
82,7-11-21®,229,$1,"July 25, 2022",Not Set,"$21,000",7,2,1 in 5.07,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/7-11-21-2736/
83,"$250,000 Crossword Mania",248,$10,"Dec. 2, 2022",Not Set,"$250,000",8,2,1 in 3.29,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/250000-crossword-mania-2734/
84,"$250,000 Crossword Mania",248,$10,"June 20, 2022",Not Set,"$250,000",8,2,1 in 3.29,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/250000-crossword-mania-2733/
85,"$1,000,000 Fortune",205,$20,"July 25, 2022",Not Set,"$1,000,000",2,1,1 in 2.92,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/1000000-fortune-2735/
86,"$250,000 Arctic Crossword",204,$10,"Dec. 3, 2021",Not Set,"$250,000",8,1,1 in 3.29,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/250000-arctic-crossword-2656/
87,"$250,000 Crossword Inferno",204,$10,"May 3, 2021",Not Set,"$250,000",8,1,1 in 3.29,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/250000-crossword-inferno-2655/
88,$20 Set For Life,207,$20,"July 6, 2021","Aug. 25, 2023","$1,466,109",2,0,1 in 3.01,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/20-set-for-life-2658/
89,"$140,000 Bingo Night",221,$5,"Sept. 9, 2021",Not Set,"$140,000",8,1,1 in 3.31,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/140000-bingo-night-2672/
90,Ca$h Crush,230,$1,"Feb. 21, 2022","Sept. 15, 2023","$10,000",4,1,1 in 4.56,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/cah-crush-2720/
91,30X The Cash,233,$3,"Jan. 10, 2022","Nov. 3, 2023","$50,000",3,1,1 in 3.78,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/30x-the-cash-2715/
92,Ca$h Back,237,$5,"Feb. 21, 2022","Sept. 15, 2023","$100,000",3,1,1 in 3.44,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/cah-back-2722/
