price,gameName,gameNumber,topprize,startDate,topprizeodds,Current Odds of Top Prize,Current Odds of Any Prize,Odds of Profit Prize,Expected Value of Any Prize (as % of cost),Overall Rank,Rank by Cost,Photo,Stats Page,gameURL
5.0,DOUBLE-SIDED DOLLARS,461,100000,2024-04-29,922433.4700000001,922433.4700000001,3.9899999999999998,7.595877489419877,0.4338251624229324,27.0,5.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=461
2.0,WIN IT ALL,462,25000,2024-04-29,1107424.244,1107424.244,4.46,8.26166650325364,0.41890215442567924,43.0,2.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=462
20.0,$100 & $200,456,200,2024-03-25,25.01388645032893,25.01388645032893,9.38,9.38,0.6246147128104294,4.0,2.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=456
5.0,SILVER 7S,459,77777,2024-03-25,828214.47,828214.47,4.05,7.83911330583894,0.4180615359070061,44.0,14.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=459
30.0,300X,453,3000000,2024-01-29,1476927.76,1476927.76,2.64,3.6069357694997035,0.4234965935768959,34.0,3.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=453
1.0,CASH DOUBLER,455,3000,2024-01-29,966420.5075000001,966420.5075000001,4.66,10.745151515151516,0.4037858984459343,63.0,7.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=455
10.0,"$1,000,000 CASH PAYOUT",448,1000000,2023-12-26,2254874.4,2254874.4,3.18,5.590989655963708,0.46844144913437213,16.0,6.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=448
2.0,"$25,000 CASH PAYOUT",450,25000,2023-12-26,1016187.315,1016187.315,4.29,9.335413988072187,0.38086166040037606,74.0,13.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=450
1.0,"$5,000 CASH PAYOUT",451,5000,2023-12-26,1175707.0142857144,1175707.0142857144,4.7,10.481349520288834,0.420497083812114,39.0,2.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=451
3.0,TREASURE HUNT,452,50000,2023-12-26,935584.5771428571,935584.5771428571,3.82,6.9765748975024255,0.33906115623513705,77.0,4.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=452
2.0,FAST $100S,446,30000,2023-11-27,1050575.78,1050575.78,4.44,9.700089861482947,0.402834929682677,64.0,9.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=446
1.0,TRIPLE LUCK,439,6000,2023-09-25,1377645.9549999998,1377645.9549999998,4.71,11.112342536153937,0.3982029496519805,68.0,8.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=439
2.0,20X THE MONEY,436,25000,2023-08-28,1268630.052,1268630.052,4.46,8.304885282950643,0.4122467643774114,56.0,7.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=436
2.0,"$20,000 TAXES PAID",429,27778,2023-06-26,1043261.3333333335,1043261.3333333335,4.48,9.990028516719674,0.4152579714604762,50.0,6.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=429
50.0,500X,421,5000000,2023-05-30,2099763.013333333,2099763.013333333,2.93,3.5977917370939396,0.4856000993521076,13.0,3.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=421
10.0,"$1,000,000 MONEY MULTIPLIER",405,1000000,2022-12-27,2238669.795,2238669.795,3.2699999999999996,5.960854992414781,0.5170708529582096,7.0,3.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=405
3.0,FRUIT LOOT,409,50000,2022-12-27,906790.4539999999,906790.4539999999,3.82,6.801097873189329,0.3531741043430405,76.0,3.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=409
20.0,24K GOLD,359,2000000,2021-12-28,1635968.4,1635968.4,3.04,5.4469685244501385,0.5434364328118206,6.0,4.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=359
30.0,BIG RICHES,375,3000000,2021-08-30,1490603.485,1490603.485,2.66,3.6401043066123693,0.3600207671703918,75.0,4.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=375
10.0,ROSE GOLD,343,1000000,2021-08-30,2306349.06,2306349.06,3.18,5.53145458453877,0.47974942318713476,15.0,5.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=343
20.0,$100 MILLION CASH BONANZA,21,4000000,2014-08-04,1785751.72,1785751.72,3.28,6.649024819855884,0.6680187635045118,2.0,1.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=21
