prizeamount,Winning Tickets Unclaimed,Winning Tickets At Start,gameName,gameNumber,price,dateexported
100.0,185.0,185.0,Love Note,1722,1,2026-01-01
40.0,288.0,288.0,Love Note,1722,1,2026-01-01
20.0,820.0,820.0,Love Note,1722,1,2026-01-01
14.0,8213.0,8213.0,Love Note,1722,1,2026-01-01
14000.0,1.0,1.0,BETTY BOOP™,1721,2,2026-01-01
1400.0,5.0,5.0,BETTY BOOP™,1721,2,2026-01-01
400.0,38.0,38.0,BETTY BOOP™,1721,2,2026-01-01
100.0,288.0,288.0,BETTY BOOP™,1721,2,2026-01-01
50.0,723.0,723.0,BETTY BOOP™,1721,2,2026-01-01
40.0,7858.0,7858.0,BETTY BOOP™,1721,2,2026-01-01
100000.0,3.0,3.0,Call Me,1720,5,2026-01-01
14000.0,6.0,6.0,Call Me,1720,5,2026-01-01
1400.0,11.0,11.0,Call Me,1720,5,2026-01-01
500.0,210.0,210.0,Call Me,1720,5,2026-01-01
140.0,4613.0,4613.0,Call Me,1720,5,2026-01-01
100.0,1359.0,1359.0,Call Me,1720,5,2026-01-01
100000.0,27.0,27.0,"Fast $1,000",1719,10,2026-01-01
5000.0,16.0,16.0,"Fast $1,000",1719,10,2026-01-01
1000.0,22787.0,22787.0,"Fast $1,000",1719,10,2026-01-01
150.0,2532.0,2532.0,"Fast $1,000",1719,10,2026-01-01
100.0,38293.0,38293.0,"Fast $1,000",1719,10,2026-01-01
50.0,63555.0,63555.0,"Fast $1,000",1719,10,2026-01-01
