,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
79,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
80,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
81,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
82,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
83,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
84,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
85,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
86,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
87,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
88,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
89,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
90,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
91,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
92,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
93,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
94,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
95,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
96,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
97,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
98,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
99,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
100,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
101,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
102,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
103,279.0,Casino Ca$h Dice➞,$10,250000,3.36,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,"April 17, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-dice-2774/,
104,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
105,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
106,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
107,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
108,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
109,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
110,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
111,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
112,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
113,330.0,"$20,000 Super Bonus➞",$2,20000,4.36,2,2,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/20000-super-bonus-2834/,
114,339.0,"$100,000 Golden Casino➞",$5,100000,3.96,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/100000-golden-casino-2843/,
115,339.0,"$100,000 Golden Casino➞",$5,100000,3.96,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/100000-golden-casino-2843/,
