,price,gameName,gameNumber,topprize,gameURL,gamePhoto
92,5,Cash,1440,100000,https://dclottery.com/dc-scratchers/cash,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1440%20cash.jpg.webp?itok=Be0xI6Pn
93,2,Cash Up,1422,100000,https://dclottery.com/dc-scratchers/cash-0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1422%20cash%20up.jpg.webp?itok=JGcdUQFH
94,2,Electric Deuces,1418,100000,https://dclottery.com/dc-scratchers/electric-deuces,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/Electric%20Deuces%20.jpg.webp?itok=ssy4ri6e
95,2,Dia de los Muertos,1431,100000,https://dclottery.com/dc-scratchers/dia-de-los-muertos,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/Dia%20de%20los%20Muertos.jpg.webp?itok=nJ8U-v7h
96,2,Double Deuces,1442,100000,https://dclottery.com/dc-scratchers/double-deuces,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1442%20double%20deuces.jpg.webp?itok=diTnSTFN
97,2,20X,1436,100000,https://dclottery.com/dc-scratchers/20x,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/20X%20.jpg.webp?itok=YRHc0Tpa
98,5,50X,1437,100000,https://dclottery.com/dc-scratchers/50x,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1437%2050x.jpg.webp?itok=x-pB_4HU
99,2,Easy Money,1452,100000,https://dclottery.com/dc-scratchers/easy-money,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc%201452%20cropped.jpg.webp?itok=lIF7tNRx
100,5,Washington Capitals® 2018 Stanley Cup Champions™,1397,100000,https://dclottery.com/dc-scratchers/washington-capitalsr-2018-stanley-cup-championstm,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1397%202018%20stanley%20cup%20champions%20washington%20capitals%20scratcher%20cvv11.jpg.webp?itok=EvzifE0-
101,2,Sapphire 7's,1458,100000,https://dclottery.com/dc-scratchers/sapphire-7s,https://dclottery.com/sites/default/files/styles/teaser_image/public/2022-09/sapphire-7s.webp?itok=4MNnr6Qa
102,5,Washington Nationals ®,1416,100000,https://dclottery.com/dc-scratchers/washington-nationals-r,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1416%20washington%20nationals%20cvv15.jpg.webp?itok=4RPBn3zV
103,2,$100 Win,1448,100000,https://dclottery.com/dc-scratchers/100-win,https://dclottery.com/sites/default/files/styles/teaser_image/public/2022-09/dc1448-100-hit-cv-4.webp?itok=mINmvqYD
104,10,100X,1438,100000,https://dclottery.com/dc-scratchers/100x,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1438%20100x.jpg.webp?itok=AQk_sVnZ
